Bathrooms,Bedrooms,Erf Size,Garages,Price,Type of Property,city,no_year,Size_meters_Square
5.0,5.0,1300.0,4.0,4750000.0,1,1,1,1300
3.0,5.0,1013.0,2.0,2395000.0,1,1,1,1013
2.0,3.0,251.0,1.0,1350000.0,1,1,1,251
3.0,3.0,1158.0,4.0,3995000.0,1,1,1,1158
3.0,3.0,0.0,2.0,1595000.0,0,1,1,0
2.0,3.0,0.0,3.0,1350000.0,1,1,1,0
2.0,4.0,1487.0,4.0,2090000.0,1,1,1,1487
4.0,5.0,1133.0,4.0,5950000.0,1,1,1,1133
3.0,4.0,500.0,3.0,3600000.0,1,1,1,500
3.0,4.0,0.0,2.0,1899000.0,1,1,1,0
4.0,4.0,1950.0,4.0,16500000.0,1,1,2,1950
1.0,2.0,105.0,1.0,730000.0,0,1,1,105
4.0,4.0,721.0,2.0,5300000.0,1,1,1,721
2.0,3.0,147.0,1.0,899000.0,0,1,1,147
2.0,3.0,1500.0,2.0,1695000.0,1,1,1,1500
3.0,3.0,312.0,2.0,3100000.0,1,1,1,312
2.0,3.0,0.0,2.0,1780000.0,0,1,1,0
2.0,3.0,160.0,2.0,1670000.0,0,1,1,160
2.0,3.0,200.0,2.0,2499000.0,0,1,1,200
2.0,3.0,968.0,2.0,1150000.0,1,1,1,968
2.0,4.0,1504.0,2.0,1900000.0,1,1,1,1504
2.0,3.0,0.0,2.0,1860000.0,0,1,1,0
2.0,3.0,1050.0,2.0,995000.0,1,1,1,1050
2.0,3.0,300.0,2.0,3250000.0,0,1,1,300
4.0,4.0,868.0,2.0,2750000.0,1,1,2,868
3.0,4.0,200.0,3.0,3400000.0,1,1,2,200
2.0,3.0,89979.0,4.0,2999000.0,1,1,1,89979
2.0,3.0,210.0,2.0,2180000.0,1,1,1,210
2.0,3.0,70.0,1.0,754556.0,1,1,2,70
3.0,4.0,388.0,2.0,3999000.0,0,1,1,388
4.0,4.0,1090.0,3.0,6350000.0,1,1,2,1090
4.0,6.0,18178.0,2.0,2100000.0,1,1,1,18178
3.0,4.0,700.0,4.0,7790000.0,1,1,2,700
5.0,4.0,500.0,2.0,5495000.0,1,1,2,500
3.0,4.0,1926.0,2.0,3999000.0,1,1,1,1926
4.0,4.0,1700.0,6.0,13500000.0,1,1,1,1700
4.0,4.0,465.0,2.0,6950000.0,1,1,2,465
2.0,3.0,351.0,2.0,1380000.0,1,1,1,351
2.0,3.0,0.0,1.0,1250000.0,0,1,1,0
3.0,3.0,640.0,2.0,2590000.0,1,1,2,640
4.0,4.0,0.0,2.0,3990000.0,1,1,1,0
